篇名,作者,关键词,摘要,没有引进词表的jieba提取的中药材,引进词表的jieba提取的中药材
种药食同源中药材重金属及健康风险评价,"张松,刘晓媛,吴迪","中药材,重金属,内梅罗综合污染指数,健康风险评价","通过健康风险评价方法、内梅罗综合污染指数法和单因子污染指数法等种主要方法,对种重金属元素铜(Cu)、汞(Hg)、砷(As)、铅(Pb)和镉(Cd)的存在含量进行测评,系统评估种药食同源包括黄芪、白芍、甘草、山楂、枸杞和金银花在内的中药材的重金属含量.为了系统地考察重金属对中药材的实际污染情况,含量限制标准采用《中华人民共和国药典》(年版)中的具体数据作为参照.结果表明:所有被测批次的中药材重金属含量均未超过重金属于中药材中的限制标准,此为《中国药典》(年版)所规定的.金银花(.)＞甘草(.)＞白芍(.)＞黄芪(.)＞构杞(.)＞山楂(.),这样的内梅罗综合污染指数,说明以上中药材污染等级范围为安全等级;对具有致癌风险的砷作健康风险评价,表明金银花、白芍、山楂大于规定的标准阙值,说明其具有一定的致癌风险,其它则没有致癌风险.归类分析,Pb、Cd、Cu在花草类中药材(金银花)中含量较高,其次是根及根茎类中药材(甘草、白芍、黄芪),果实及种子类(山楂、枸杞)含量相较于前两者含量最低;对照各用药部位的结果,砷和汞含量差异具有不显著性.","铅, 黄芪, 白芍, 甘草, 山楂, 枸杞, 金银花","铅, 黄芪, 白芍, 甘草, 山楂, 枸杞, 金银花"
揭秘药食同源,"《家庭医药·快乐养生》编辑部,邱婷婷",,"为了祛湿,隔三岔五熬上一锅薏仁红豆粥;听说何首乌能护发,打成粉每天泡水服用;要补血就吃当归、阿胶;还有红极一时的中年养生必备:枸杞泡水……当下,人们对养生的关注度越来越高,食疗、药膳等养生之道也随之流行.药食同源是老祖宗流传下来的中医理论,但自己搭配中药材进行食补,是否有雷区?","何首乌, 当归, 阿胶, 枸杞","何首乌, 当归, 阿胶, 枸杞"
药食同源话人参,"薛武更,穆婵娟,段锦绣",,"随着生活水平的提高,人们对养生保健越来越重视,食疗养生也受到人们的追捧,具有药食同源功效的食物受到极大的关注,人参就是其中一种._xD_
自古以来,人参作为我国特产的一种名贵药材,一直被人们奉为“神药”.《神农本草经》记载,人参可以“补五脏、安精神、止惊悸、除邪气、明目、开心益智”,现在人参早已在卫健委公布的“药食同源”名单之列,并凭借扶正固本、抗衰老的功效而“飞入寻常百姓家”.","人参, 益智","人参, 益智"
药食同源——手参,徐晔春,,"手参(通称为手掌参)为药食同源植物,在医药领域应用广泛,在西藏等地民间常用作滋补品,但随着经济的快速发展,对其需求也不断增加,在原生地,由于利益使然,大多采用灭绝式的采挖,基本见不到成片的植株,手参的应用部位是块茎,因此采集方式均为致死性的,往往导致一个种群全部毁灭,影响了种质资源的交流,同时人为活动如森林砍伐等的干扰也是导致手掌参资源急剧减少的原因.如果不进行干预,手参在某些地区可能走向濒危或灭绝.在原产地,应联合科技人员进行攻关,严格禁止采挖野生植株,利用人工种植的方式做到永续利用.","手参, 手掌参","手参, 手掌参"
食药同源说花椒,李孟楼,,"我国栽培花椒历史悠久,在数千年的利用过程中,不仅驯化出了不少优良农家品种,也演绎出了多种利用方式.本文通过整理文献和资料,归纳了我国花椒食用与药用的历史与现状,食药同源的内在原因,花椒文化的发展和渊源;同时简述了花椒产品的质量控制、产业的发展、种质资源等内容.",花椒,花椒
药食同源的种食材,"易灿玲,刘会",,"中医自古以来就有药食同源(又称为医食同源)的理论.日前,国家卫生健康委开展药食物质管理试点工作,对党参等种食材作了食用方面的提醒._xD_
党参党参片呈类圆形的厚片,有特殊香气,味微甜.可以用于煲汤、煮粥、蒸饭、入菜、火锅、传统方式泡酒及制作党参脯等.健脾益肺,养血生津.能帮助抗疲劳、缓解衰老、抗溃疡、增强免疫功能以及治疗贫血等.需要注意的是,食用过量,容易使心脏功能受到影响.气滞、肝火旺盛者不宜服.不宜与藜芦同用.","党参, 藜芦","党参, 藜芦"
"非洲猪瘟流行下,药食同源中草药增强猪只抗病力,提升猪群健康度的营养活性","张吉鹍,何春兰","营养活性物质,卫气营血辩证,中药多糖,香菇多糖,免疫调节","文章在介绍非洲猪瘟(Africanswinefever,ASF)的潜伏期、临床表现型及其卫气营血辩证的基础上,介绍了药食同源天然中草药对增强易感猪群的抗病力,提高其健康度的营养活性.并重点介绍了中药多糖对防控ASF的营养活性,同时以香菇多糖作为示例进行了详细说明.",香菇,香菇
临湖大蒜药食同源现代农业产业园,张三,,"项目内容_xD_
江西上饶临湖大蒜历代传承,文化底蕴深厚,溯源警世,药食同源,祛病防疫.溯源晋代葛洪在赣东北灵山、三清山炼丹特殊配方用料即""圣葫""(临湖大蒜),功效非凡.",大蒜,大蒜
药食同源药膳产品参山固体饮料中药复方的提取工艺研究,"王亚敏,谢梦洲,张超文,陈光宇,瞿昊宇,宋毓涛,朱建平","参山固体饮料,人参皂苷,多糖,水提工艺,醇提工艺,正交设计试验,HPLC","优选药食同源药膳产品参山固体饮料中药复方提取工艺参数,为工业化生产提供依据.根据处方中药材的性质及功效部位采用部分药材醇提,醇提药渣与其他部分药材一并水提,单因素试验考查醇提次数、水提次数,正交设计试验法优选醇提与水提工艺条件,采用HPLC法测定参山固体饮料各样品中人参皂苷Rg,Re,Rb的含量,硫酸-苯酚比色法测定参山固体饮料各样品中多糖的含量.结果表明,最优醇提工艺参数为醇提次,浸泡时间.h,％乙醇,加乙醇量为药材量的,倍,醇回流时间.,.h;最优水提工艺参数为水提次,浸泡时间h,水提温度℃,加水量为药材量的,倍,水提时间.,.h.优选的参山固体饮料提取工艺条件科学、合理、可行,工艺成熟稳定,适合工业化生产.",人参,人参
药食同源之新兴产业芦笋大健康,陈光宇,,"芦笋在我国规模化生产虽然只有二三十年时间,但近年来发展十分迅速,栽培面积逐年上升,产量不断增加,加工品类不断开发,产业规模持续壮大._xD_
芦笋发源于地中海地区,学名为AsparagusOfficinalisL.,其中Officinalis是指其药用功能得到欧洲官方认可.关于芦笋的药用功效最早可追溯到世纪,官方认定其为植物性利尿和通便药,还可用于心脏病和一些其它疾病的治疗.芦笋在植物分类学上为天门冬科天门冬属草本植物,天门冬已列入我国国家药食同源目录.芦笋之所以有药用功效与其体内含有的营养元素和生物活性物质有关.","芦笋, 天门冬","芦笋, 天门冬"
药食同源果桑新品种选育与栽培技术研究及产业化应用,张三,,"果桑位列国家确定并公布""药食同源""植物名单.果桑全身都是宝,桑果(桑椹)、桑叶是药食同源营养食品,且桑果、桑叶、桑枝、桑白皮又均为中药材,市场开发潜力巨大.近年来,果桑作为特色水果、中药材、食品和多种功能性精加工产品原料,迅速发展为新兴特色健康产业和农业供给侧结构性改革调整优先项目之一.年前,产业发展之初面临诸多问题:品种单一、栽培技术不配套、菌核病易发难防、市场竞争力功能性精加工产品匮乏等,针对上述问题,项目组瞄准产业发展需求,依据品种特性,系统选育市场和生产需求果桑新品种,为产业发展提供品种基础;通过研制栽培技术体系,创新推广模式;研究富硒技术等,开发多种独特加工产品,为推动产业又好又快发展提供科技支撑.","桑椹, 桑叶, 桑枝, 桑白皮","桑椹, 桑叶, 桑枝, 桑白皮"
绕过药食同源的那些坑,王小飞,,"脱发要吃何首乌、肾虚进补枸杞、补血来点当归和人参……这些看似很有道理的“养生经”,不知道让多少人吃了亏、上了当.中医讲究药食同源,可到底什么是药食同源,等您看了山东省泰安市中医医院中医预防保健科主任王庆军对药食同源的解析后就能搞明白了.","何首乌, 枸杞, 当归, 人参","何首乌, 枸杞, 当归, 人参"
药食同源就可以随意吃?,梁文源,,"掉头发要吃何首乌、补肝要用枸杞、补血就要多吃当归、补气吃黄芪……老百姓的养生食谱上,总有各种各样的中药材.电视台热播的养生节目、网络社交媒体疯转的养生秘诀,被很多人奉为“金科玉律”._xD_
人们习以为常的“药食同源”有科学依据吗?药食同源类中药材怎么吃才健康?使用过程中有哪些误区?越贵的药材是否功效越好?","何首乌, 枸杞, 当归, 黄芪","何首乌, 枸杞, 当归, 黄芪"
药食同源山野菜展枝唐松草的研究与开发利用现状,毕红艳,"展枝唐松草,开发利用,现状","展枝唐松草是东北地区传统山野菜,药食同源,其营养丰富,药用价值高.介绍了展枝唐松草的生境分布,总结了目前有关其植物学特性、栽培技术、种苗繁育、生理活性成分等方面的研究成果以及开发利用现状,探讨了未来的研究方向和开发前景,以期为深入研究与开发利用提供参考.",唐松草,唐松草
药食同源植物鱼腥草研究现状,"童文,李敏,孙佩,曾静,刘行,胡艺","鱼腥草,药食两用,开发利用","通过文献查阅,从鱼腥草的分布情况、品种和栽培技术、化学成分、药理和临床应用及开发利用等方面总结了鱼腥草的研究现状,并对鱼腥草今后研究和发展方向进行了展望.鱼腥草疗效确切,药食同源利用价值高,应进一步加强鱼腥草的基础研究,深入开展鱼腥草药理及临床应用研究,在临床上开发出更多鱼腥草优质新产品.",鱼腥草,鱼腥草
HPLC法测定药食同源降脂片中熊果酸和齐墩果酸的含量,"陈静,沙芮,丁洁,李瑞宾,邓丽娟,牛犇","高效液相色谱法,质量控制,熊果酸,齐墩果酸,含量测定","通过高效液相色谱法测定药食同源降脂片中熊果酸和齐墩果酸的含量并建立降脂中药片质控标准.采用GeminiSuC色谱柱(mm×.mm,μm),流速mL/min,柱温℃,检测波长nm,进样量μL,流动相为mmol/L乙酸铵(A)-乙腈(B).结果表明:熊果酸在.～.μg/mL(R=.)线性关系良好,平均回收率为.％,RSD为.％;齐墩果酸在.～.μg/mL(R=.)线性关系良好,平均回收率为.％,RSD为.％.该方法操作简便、准确、稳定、重复性好,可用于药食同源降脂片的质量控制.",齐墩果,齐墩果
"药食同源,改善睡眠更安全",王庆庆,,"对于失眠患者来讲,有一个良好的睡眠恐怕是一件很幸福的事情,然而在高节奏的生活中失眠已经严重影响到了人们的身体健康,在对改善睡眠的药物的选择过程中却又犹豫不决.那么,如何选择改善睡眠的产品更安全?我们不妨看看可以药食同源的产品:酸枣仁._xD_
现代研究表明,无论生酸枣仁,还是炒酸枣仁,均有镇静、催眠、镇痛、抗惊厥、降压的药理作用,酸枣仁也是国家卫计委颁布的药食同源、药食两用的植物成分.无论是《金匮要略》一书中的“酸枣仁汤”,还是现在的养生食谱中,酸枣仁已经倍受青睐,可见酸枣仁有很高的安全性.以岭药业自主研制的酸枣仁油软胶囊,在改善睡眠方面有很好的效果,在产品安全性方面更具有多方面优势.",酸枣仁,酸枣仁
药食同源有讲究药膳食疗不盲目,徐婧,,"枣泥山药糕补血益气,玉竹老鸭汤养阴润燥……山药、玉竹这些出现在《中国药典》中的中药,也是人们的盘中佳肴._xD_
对于有些食物来说,它们和药物之间并没有明确的界限,它们既是食物,也是药物,这便是“药食同源”的理念.","山药, 玉竹","山药, 玉竹"
药食同源鸡内金的红外检测研究,"王宝庆,练有扬,杨娜,刘莹,郭宇莲,张帅","鸡内金,红外光谱检测,炮制品,质量标准","以药食同源鸡内金作为研究对象,利用傅里叶红外光谱技术进行红外光谱检测分析研究,主要进行了一维FT-IR光谱检测,二阶导数光谱处理,稳定性检测实验,同时完成鸡内金标准品和不同炮制品的红外检测和谱图对比分析.通过对FT-IR谱图的分析,可以得到鸡内金红外光谱图的主要特征峰的峰位及其强度如下(其中红外检测波数范围是~cm-,绝对阈值为.,灵敏度为):在.cm-处的特征吸收峰的强度为.,在.cm-处的特征吸收峰的强度为.,在.cm-处的特征吸收峰的强度为..通过对鸡内金的一维红外谱图,二阶导数对比谱图,及其稳定性检测结果的分析,表明了红外检测为鸡内金及其相关食品和药材质量标准研究提供了重要依据,为后续鸡内金在食品和中药材质量研究中应用提供理论依据与实验基础.",鸡内金,鸡内金
种药食同源植物总黄酮提取条件及其抑制禾谷镰刀菌的作用,"刘婧,李秀梅,于大力,蔡红英,杨培龙","马齿苋,长裂苦苣菜,蒲公英,超声破碎提取法,总黄酮,禾谷镰刀菌","采用超声波破碎法提取种药食同源植物(马齿苋、长裂苦苣菜、蒲公英)中的总黄酮,考察乙醇浓度、料液比(mg/mL)、pH、超声时间、超声功率、超声温度对种植物总黄酮提取量的影响,确定种植物总黄酮适宜提取条件.实验结果表明,在种植物总黄酮适宜提取条件下,马齿苋、长裂苦苣菜、蒲公英总黄酮提取量分别达到.、.、.mg/g.另外,分析种植物总黄酮提取物对禾谷镰刀菌的抑制效果.结果显示,当种植物总黄酮提取物质量浓度为mg/mL和mg/mL时,提取物对禾谷镰刀菌的抑制作用为:马齿苋提取物>蒲公英提取物>长裂苦苣菜提取物;当低于mg/mL时,种提取物对禾谷镰刀菌的抑制作用为:蒲公英提取物>马齿苋提取物>长裂苦苣菜提取物.","马齿苋, 苦苣, 蒲公英","马齿苋, 苦苣, 蒲公英"
药食同源生物资源挖掘关键技术与产品开发,朱学良,,"国家计划项目""药食同源生物资源挖掘关键技术与产品开发""(AA)针对我国药食同源生物资源深度开发利用的关键技术和产业瓶颈问题,结合重大疾病的临床营养需求,围绕资源平台建设、关键技术突破和核心产品开发等方面展开研究,建立药食同源功效组分资源共享平台,突破功效成分高效提取、成分复配、高端制剂制备等关键技术,开发了一批具有地域特色的、具有临床需求且基于现代医学理论的药食同源产品.该项目由新疆维吾尔自治区人民医院范旻主任担任首席专家,武汉百信正源生物技术工程有限公司总牵头,研发总监朱学良博士任项目秘书,下设个课题,主要完成单位有新疆玉昆仑天然食品工程有限公司、大连医科大学、中国航天员科研训练中心、中国人民解放军第三军医大学、南京大学、中国食品药品检定研究院、中国药科大学、中山大学、四川大学华西医院、中国人民解放军总医院、中国医学科学院肿瘤医院、中国科学院大连化学物理研究所、中国中医科学院中药研究所、天津大学、北京同仁堂等优势科研机构和企业.",玉,玉
